linear_a_signs	linear_a_ipa	matched_word	score	top3_matches	ipa_length
i-*301-wa-e	iΘwae	ai	-15.7212	ai (-15.72); epi (-15.83); apa (-15.83)	5
i-*301-wa-e-a	iΘwaea	ai	-19.074	ai (-19.07); epi (-19.15); apa (-19.15)	6
i-*301-wa-e-a-d	iΘwaead	ai	-22.4476	ai (-22.45); epi (-22.49); apa (-22.49)	7
i-*301-wa-e-a-di	iΘwaeadi	ai	-21.0325	ai (-21.03); epi (-22.54); apa (-22.54)	8
i-*301-wa-e-a-di-k	iΘwaeadik	aran	-23.2246	aran (-23.22); ai (-24.54); apa (-26.03)	9
i-*301-wa-e-a-di-ki	iΘwaeadiki	morθana	-25.8837	morθana (-25.88); menzana (-26.54); aran (-26.73)	10
i-*301-wa-j	iΘwaj	ai	-15.7212	ai (-15.72); epi (-15.83); apa (-15.83)	5
i-*301-wa-ja	iΘwaja	ai	-19.074	ai (-19.07); epi (-19.15); apa (-19.15)	6
i-*301-wa-ja-a	iΘwajaa	ai	-22.4476	ai (-22.45); epi (-22.49); apa (-22.49)	7
i-*301-wa-ja-a-d	iΘwajaad	ai	-25.8371	ai (-25.84); epi (-25.85); apa (-25.85)	8
i-*301-wa-ja-a-di	iΘwajaadi	ai	-24.5388	ai (-24.54); epi (-25.91); apa (-25.91)	9
i-*301-wa-ja-a-di-k	iΘwajaadik	aran	-26.5993	aran (-26.60); ai (-28.05); apa (-29.41)	10
i-*301-wa-ja-a-j	iΘwajaaj	ai	-25.8371	ai (-25.84); epi (-25.85); apa (-25.85)	8
i-*301-wa-ja-a-ja	iΘwajaaja	epi	-29.2244	epi (-29.22); apa (-29.22); ai (-29.24)	9
i-*301-wa-ja-j	iΘwajaj	ai	-22.4476	ai (-22.45); epi (-22.49); apa (-22.49)	7
i-*301-wa-ja-ja	iΘwajaja	ai	-25.8371	ai (-25.84); epi (-25.85); apa (-25.85)	8
i-*301-wa-ja-ja-a	iΘwajajaa	epi	-29.2244	epi (-29.22); apa (-29.22); ai (-29.24)	9
i-*301-wa-ja-ja-d	iΘwajajad	epi	-29.2244	epi (-29.22); apa (-29.22); ai (-29.24)	9
i-*301-wa-ja-ja-di	iΘwajajadi	ai	-28.0451	ai (-28.05); epi (-29.30); apa (-29.30)	10
i-*301-wa-ja-ja-i	iΘwajajai	ai	-24.5388	ai (-24.54); epi (-25.91); apa (-25.91)	9
i-*301-wa-ja-ja-i-n	iΘwajajain	ai	-28.0451	ai (-28.05); epi (-29.41); apa (-29.41)	10
i-*301-wa-ja-ja-j	iΘwajajaj	epi	-29.2244	epi (-29.22); apa (-29.22); ai (-29.24)	9
i-*301-wa-ja-ja-ja	iΘwajajaja	epi	-32.6138	epi (-32.61); apa (-32.61); ai (-32.65)	10
i-*301-wa-ja-ja-s	iΘwajajas	apa	-29.2244	apa (-29.22); epi (-29.22); ai (-29.24)	9
i-*301-wa-ja-ja-sa	iΘwajajasa	apa	-32.6138	apa (-32.61); epi (-32.61); ai (-32.65)	10
